scene_file_name,question,answer,answer_pred,time,distance
2t7WUuJeko7,"Counting all the dolls (excluding the full-size mannequin) visible throughout the entire house, how many are there in total? Answer with one option from [0-1, 2-3, 4-5, 6-7, 8-9, 10-11, 12-13, 14+], e.g., 0-1",8-9,14,1.2018132209777832,0.5000530093803448
2t7WUuJeko7,"In which of the following rooms are oval or circular braided rugs visible on the floor? List all rooms that apply, separated by commas. Choose from [child's bedroom (pink), living/dining room, kitchen, bathroom, master bedroom (blue), main entryway, pantry, hallway near bathroom], e.g., child's bedroom (pink)","ROOMS: [child's bedroom (pink), living/dining room, bathroom, master bedroom(blue)]",living/dining room,8.247979879379272,13.702486565698628
2t7WUuJeko7,"Where is the gramophone (record player) located? Answer with one option from each category in the format 'ROOM: X, POSITION: Y, NEARBY_OBJECT: Z'. Choose from: ROOM: [child's bedroom (pink), master bedroom (blue), living/dining room, kitchen, bathroom, hallway, pantry, study] POSITION: [center of room, near entrance, in a corner, next to a window, against the main wall, built into a cabinet, on a small table, on the floor] NEARBY_OBJECT: [sofa, dining table, fireplace, pump organ, bookshelf, china cabinet, wall clock, window] Example: ROOM: child's bedroom (pink), POSITION: center of room, NEARBY_OBJECT: sofa","ROOM: living/dining room, POSITION: in a corner, NEARBY_OBJECT: fireplace","ROOM: living/dining room, POSITION: center of room, NEARBY_OBJECT: sofa",5.569501638412476,6.0000542908802075
2t7WUuJeko7,"In the main living and dining area, what is the spatial relationship between the pump organ and the full-size female mannequin? Answer with one option from each category in the format 'OBJECT1: X, RELATION: Y, OBJECT2: Z'. Choose from: OBJECT1: [mannequin, sofa, dining table, fireplace, gramophone, pump organ, wall clock] RELATION: [in front of, behind, to the left of, to the right of, on top of, underneath, across from, diagonal to] OBJECT2: [mannequin, sofa, dining table, fireplace, gramophone, pump organ, wall, window] Example: OBJECT1: mannequin, RELATION: in front of, OBJECT2: mannequin","OBJECT1: mannequin, RELATION: to the left of, OBJECT2: pump organ","mannequin: in front of, pump organ: behind",1.6769938468933105,0.7500532179966015
2t7WUuJeko7,"How many seating furniture items of each type are in the main living and dining area? Answer with the format 'DINING_CHAIRS_AT_TABLE: X, SOFAS: Y, ARMCHAIRS/SIDE_CHAIRS: Z' where X, Y, Z are integers. Choose from: DINING_CHAIRS_AT_TABLE: [0, 1, 2, 3, 4, 5, 6, 7, 8+] SOFAS: [0, 1, 2, 3, 4+] ARMCHAIRS/SIDE_CHAIRS: [0, 1, 2, 3, 4, 5, 6, 7, 8+] Example: DINING_CHAIRS_AT_TABLE: 0, SOFAS: 0, SIDE_CHAIRS: 0","DINING_CHAIRS_AT_TABLE: 6, SOFAS: 1, ARMCHAIRS/SIDE_CHAIRS: 5","DINING_CHAIRS_AT_TABLE: 0, SOFAS: 0, ARMCHAIRS/SIDE_CHAIRS: 0",8.959437370300293,10.40107463895226
2t7WUuJeko7,"What is the seating capacity of the main dining table, based on the number of chairs arranged around it? Answer with one option from [1-seat, 2-seat, 3-seat, 4-seat, 5-seat, 6-seat, 7-seat, 8+ seat], e.g., 1-seat",6-seat,4-seat,3.340287685394287,5.501404038061146
2t7WUuJeko7,"Describe the properties of the toilet in the bathroom. Answer with the format 'TYPE: X, TANK_MATERIAL: Y, SEAT_COLOR: Z'. Choose from: TYPE: [standard low-tank, high-tank with pull chain, wall-mounted, corner unit, bidet combo, portable toilet, composting toilet, one-piece toilet] TANK_MATERIAL: [ceramic, plastic, wood, metal, glass, stone, rubber, composite] SEAT_COLOR: [white, black, beige, brown, grey, blue, green, pink] Example: TYPE: standard low-tank, TANK_MATERIAL: ceramic, SEAT_COLOR: white","TYPE: high-tank with pull chain, TANK_MATERIAL: wood, SEAT_COLOR: brown","TYPE: standard low-tank, TANK_MATERIAL: ceramic, SEAT_COLOR: white",27.495856285095215,33.97942789493943
2t7WUuJeko7,"What is the sequence of rooms to get from the child's bedroom (pink wallpaper) to the kitchen? Answer with the format 'START: X, INTERMEDIATE: Y, END: Z'. Choose from: START: [child's bedroom (pink), master bedroom (blue), living/dining room, kitchen, bathroom, hallway] INTERMEDIATE: [child's bedroom (pink), master bedroom (blue), living/dining room, kitchen, bathroom, hallway, none] END: [child's bedroom (pink), master bedroom (blue), living/dining room, kitchen, bathroom, hallway] Example: START: child's bedroom (pink), INTERMEDIATE: child's bedroom (pink), END: child's bedroom (pink)","START: child's bedroom (pink), INTERMEDIATE: living/dining room, END: kitchen","START: child's bedroom (pink), INTERMEDIATE: child's bedroom (pink), END: child's bedroom (pink)",29.960360527038574,37.44936757384682
2t7WUuJeko7,"In the bedroom with blue floral wallpaper, what antique textile-making equipment is present? Answer with one option from [sewing machine, loom, spinning wheel, knitting machine, carding machine, embroidery frame, tatting shuttle, spindle], e.g., sewing machine",spinning wheel,sewing machine,8.89597773551941,13.42531809060717
2t7WUuJeko7,"Which of the following major kitchen appliances or fixtures are present in the kitchen area? List all items that apply, separated by commas. Choose from [cast-iron range/stove, gas range, electric cooktop, microwave, modern refrigerator, dishwasher, toaster, blender], e.g., cast-iron range/stove",APPLIANCES: [cast-iron range/stove],modern refrigerator,12.332329988479614,18.932667352586307
