scene_file_name,question,answer,answer_pred,time,distance
Vt2qJdWjCF2,"Count the different primary types of seating furniture visible throughout the entire tour. Answer with the format 'SOFAS_BENCHES: X, LOUNGERS: Y, MASSAGE_TABLES: Z' where X, Y, and Z are selected from the options. Choose from: SOFAS_BENCHES: [0, 1, 2, 3, 4, 5, 6+] LOUNGERS: [0, 1, 2, 3, 4, 5, 6+] MASSAGE_TABLES: [0, 1, 2, 3, 4, 5, 6+] Example: SOFAS_BENCHES: 0, LOUNGERS: 0, MASSAGE_TABLES: 0","SOFAS_BENCHES: 3, LOUNGERS: 4, MASSAGE_TABLES: 2","SOFAS_BENCHES: 0, LOUNGERS: 0, MASSAGE_TABLES: 0",12.19580078125,25.273814203340528
Vt2qJdWjCF2,"Which of the following wellness facilities are present in the spa? List all that apply, separated by commas. Choose from [Sauna, Turkish Bath (Hammam), Relaxation Lounge, Massage Treatment Room, Swimming Pool, Jacuzzi, Fitness Gym, Steam Room, Yoga Studio, Cold Plunge Pool], e.g., Sauna","Sauna, Turkish Bath (Hammam), Relaxation Lounge, Massage Treatment Room","Sauna, Turkish Bath (Hammam), Relaxation Lounge, Massage Treatment Room, Swimming Pool, Jacuzzi",23.72624135017395,52.22169245637073
Vt2qJdWjCF2,"How many individual curved loungers are in the relaxation room? Answer with one option from [0, 1, 2, 3, 4, 5, 6, 7+], e.g., 0",4,0.,28.34129810333252,67.49870733936041
Vt2qJdWjCF2,"Describe the properties of the prominent decorative tiles in the Turkish bath (hammam) alcove. Answer with the format 'object, color, material, shape' separated by commas. Choose from: OBJECT: [floor tiles, wall tiles, ceiling tiles, accent tiles in alcove, bench tiles, sink tiles, entry tiles, drain cover] COLOR: [blue, white, black, gray, green, beige, brown, red, gold, multi-colored] MATERIAL: [ceramic, marble, stone, glass, metal, wood, plastic, concrete, terracotta, composite] SHAPE: [hexagonal, square, rectangular, circular, triangular, diamond, arabesque, subway, irregular, star-shaped] Example: OBJECT: floor tiles, COLOR: blue, MATERIAL: ceramic, SHAPE: hexagonal","OBJECT: accent tiles in alcove, COLOR: blue, MATERIAL: ceramic, SHAPE: hexagonal","floor tiles, blue, ceramic, hexagonal",12.362076997756958,25.457013726672667
Vt2qJdWjCF2,"Where is the sauna located? Answer with the format 'area, position, nearby feature' separated by commas. Choose from: AREA: [Main Hallway, Lounge, Locker Room, Treatment Room, Relaxation Room, Hammam, Restroom, Kitchen] POSITION: [end of hall, middle of hall, beginning of hall, inside another room, adjacent to lockers, next to entrance, behind reception, upstairs] NEARBY_FEATURE: [mosaic tile shower, relaxation loungers, massage tables, lockers, reception desk, potted plant, water fountain, vending machine] Example: AREA: Main Hallway, POSITION: end of hall, NEARBY_FEATURE: mosaic tile shower","AREA: Main Hallway, POSITION: middle of hall, NEARBY_FEATURE: mosaic tile shower","AREA: Main Hallway, POSITION: end of hall, NEARBY_FEATURE: mosaic tile shower",58.591904401779175,129.64700027285957
Vt2qJdWjCF2,"What is the arrangement of the two massage tables in the treatment room? Answer with one option from [parallel, perpendicular, end-to-end, back-to-back, L-shaped, diagonal, scattered, facing each other, in separate rooms, stacked], e.g., stacked",parallel,back-to-back.,86.32135915756226,13.762341781642254
Vt2qJdWjCF2,"Where are the decorative pillows with the blue, yellow, and white abstract pattern located? Answer with the format 'room, on furniture' separated by a comma. Choose from: ROOM: [Lounge/Reception, Hallway, Relaxation Room, Massage Room, Locker Room, Hammam, Waiting Area, Office] ON_FURNITURE: [curved gray sofa, wooden bench, white loungers, massage tables, floor cushions, armchair, stool, bed] Example: ROOM: Hammam, ON_FURNITURE: armchair","ROOM: Lounge/Reception, ON_FURNITURE: curved gray sofa","Hallway, on furniture.",45.79406476020813,103.49979433615874
Vt2qJdWjCF2,"What is the approximate number of individual lockers visible in the locker room? Answer with one option from [0-5, 6-10, 11-15, 16-20, 21-30, 31-40, 41-50, 50+], e.g., 0-5",21-30,0-5,30.169647932052612,73.75003662903976
Vt2qJdWjCF2,"What is the sequence of areas passed when traveling from the main lounge with the curved sofa to the Turkish bath (hammam)? Answer with the format 'start -> intermediate 1 -> intermediate 2 -> end'. Choose from: START: [Lounge/Reception, Locker Room, Relaxation Room, Exit Door, Massage Room] INTERMEDIATE_1: [Main Hallway, Locker Room, Stairwell, Office, Restroom] INTERMEDIATE_2: [Sauna/Shower Area, Relaxation Room, Massage Room, Kitchen, none] END: [Turkish Bath (Hammam), Massage Room, Relaxation Room, Locker Room, Exit] Example: START: Massage Room, INTERMEDIATE_1: Office, INTERMEDIATE_2: Massage Room, END: Relaxation Room","START: Lounge/Reception, INTERMEDIATE_1: Main Hallway, INTERMEDIATE_2: Sauna/Shower Area, END: Turkish Bath (Hammam)","START: Lounge/Reception, Locker Room, Relaxation Room, Exit Door, Massage Room

INTERMEDIATE_1: Locker Room, Stairwell, Office, Restroom

INTERMEDIATE_2: Sauna/Shower Area, Relaxation Room, Massage Room, Kitchen, none",17.802966594696045,36.250019386603526
Vt2qJdWjCF2,"What is the primary function of the room containing the large central marble slab and multiple water basins? Answer with one option from [Ritual bathing and cleansing, Dry heat therapy, Cold water immersion, Meditation and yoga, Massage therapy, Swimming and recreation, Fitness training, Food and beverage service, Manicure and pedicure station], e.g., Fitness training",Ritual bathing and cleansing,Ritual bathing and cleansing.,5.678631544113159,11.500003995496746
