scene_file_name,question,answer,answer_pred,time,distance
RPmz2sHmrrY,"How many distinct Christmas trees (including tree-shaped decorations over 2 feet tall) are visible throughout the house? Answer with one option from [0, 1-2, 3-4, 5-6, 7-8, 9-10, 11-12, 13+], e.g., 0",7-8,1,0.44705653190612793,3.480670373137785e-08
RPmz2sHmrrY,"How many large, wooden, glass-fronted display cabinets are in the conjoined living and dining room areas? Answer with one option from [0, 1, 2, 3, 4, 5, 6, 7+], e.g., 0",3,0,0.7760028839111328,1.000000031415452
RPmz2sHmrrY,"Count the major furniture items in the main living room area (excluding the dining area). Answer with the format 'SOFAS: X, ARMCHAIRS: Y, LARGE_CABINETS: Z, TABLES: W'. Choose from: SOFAS: [0, 1, 2, 3, 4+], ARMCHAIRS: [0, 1, 2, 3, 4+], LARGE_CABINETS: [0, 1, 2, 3, 4+], TABLES: [0, 1, 2, 3, 4+], e.g., SOFAS: 0, ARMCHAIRS: 0, LARGE_CABINETS: 0, TABLES: 0","SOFAS: 1, ARMCHAIRS: 2, LARGE_CABINETS: 2, TABLES: 3","SOFAS: 0, ARMCHAIRS: 0, LARGE\_CABINETS: 0, TABLES: 0",14.220036029815674,13.235038037818338
RPmz2sHmrrY,"Describe the properties of the dining table setup. Answer with the format 'OBJECT, TABLECLOTH_PATTERN, SEATING_ARRANGEMENT, TABLE_SHAPE'. Choose one from each category: OBJECT: [dining table, coffee table, side table, kitchen counter, desk, console table, picnic table, card table], TABLECLOTH_PATTERN: [red & white checked, blue & white striped, green floral, solid white, solid red, snowman print, Christmas tree print, plain wood (no cloth)], SEATING_ARRANGEMENT: [set for 2, set for 3, set for 4, set for 5, set for 6, set for 8, buffet style (no seats), unset], TABLE_SHAPE: [oval, circular, rectangular, square, L-shaped, triangular, irregular, hexagonal], e.g., OBJECT: dining table, TABLECLOTH_PATTERN: red & white checked, SEATING_ARRANGEMENT: set for 2, TABLE_SHAPE: oval","OBJECT: dining table, TABLECLOTH_PATTERN: red & white checked, SEATING_ARRANGEMENT: set for 4, TABLE_SHAPE: oval","OBJECT: dining table, TABLECLOTH_PATTERN: red & white checked, SEATING_ARRANGEMENT: set for 2, TABLE_SHAPE: oval",2.505051851272583,0.5000340001997001
RPmz2sHmrrY,"Where is the microwave oven located? Answer with the format 'ROOM, POSITION, ADJACENT_APPLIANCE'. Choose one from each category: ROOM: [living room, kitchen, bedroom, bathroom, dining room, hallway, office, utility room], POSITION: [on the counter, built into cabinetry, on a dedicated cart, on top of the refrigerator, on a shelf, in a pantry, on the stove, on the floor], ADJACENT_APPLIANCE: [toaster oven, coffee maker, refrigerator, stove, dishwasher, blender, food processor, trash can], e.g., ROOM: living room, POSITION: on the counter, ADJACENT_APPLIANCE: toaster oven","ROOM: kitchen, POSITION: on the counter, ADJACENT_APPLIANCE: toaster oven","kitchen, on top of the refrigerator, toaster oven",3.931272506713867,4.882570441287423
RPmz2sHmrrY,"What types of items are displayed on the front of the main refrigerator? List all items that apply, separated by commas. Choose from [magnets, photographs, children's drawings, shopping lists, calendars, coupons, business cards, newspaper clippings, sticky notes, decorative towels], e.g., magnets","ITEMS: magnets, photographs, children's drawings","magnets, children's drawings, shopping lists, calendar",3.2368879318237305,3.983239035528565
RPmz2sHmrrY,"What is the arrangement of computer monitors at the corner desk in the bedroom with the blue and white quilt? Answer with one option from [single monitor, dual monitors side-by-side, triple monitor setup, dual monitors stacked vertically, four monitors in a grid, single laptop only, single monitor with a separate keyboard, single all-in-one computer], e.g., single monitor",triple monitor setup ,dual monitors side-by-side,12.578963041305542,15.318348293599154
RPmz2sHmrrY,"Starting from the living room sofa, what sequence of areas must be traversed to reach the bathroom with the snowman shower curtain? Answer with the format 'START -> INTERMEDIATE -> END'. Choose one from each category: START: [living room, kitchen, dining room, office, bedroom], INTERMEDIATE: [hallway, dining room, kitchen, office, entryway, none], END: [main bathroom, guest bathroom, kitchen sink, office, bedroom closet, front door], e.g., START: office, INTERMEDIATE: dining room, END: guest bathroom","START: living room, INTERMEDIATE: hallway, END: main bathroom",START -> INTERMEDIATE -> END,22.722008228302002,38.54299346677628
RPmz2sHmrrY,"How many distinct computer workstations (defined as a desk with a chair and at least one screen) are visible throughout the entire house? Answer with one option from [0, 1, 2, 3, 4, 5, 6, 7+], e.g., 0",5,0.,9.044852256774902,16.941601585071947
RPmz2sHmrrY,"Where is the 'Drive SLOW children play near here' sign located? Answer with the format 'ROOM, POSITION, NEARBY_OBJECT'. Choose one from each category: ROOM: [living room, kitchen, bedroom, bathroom, dining room, hallway, office, entryway], POSITION: [on wall, on door, on window, on floor, on a table, on a shelf, on a cabinet, hanging from ceiling], NEARBY_OBJECT: [front door, Christmas tree, television, sofa, window, bookshelf, cabinet, fireplace], e.g., ROOM: bathroom, POSITION: on a table, NEARBY_OBJECT: television","ROOM: living room, POSITION: on wall, NEARBY_OBJECT: front door","living room, on wall, on door, on table",1.5582740306854248,1.750033910792733
