scene_file_name,question,answer,answer_pred,time,distance
rqfALeAoiTq,"How many distinct areas with dedicated seating (sofas, dining chairs, or bar stools) are on the floor? Answer with one option from [0, 1, 2, 3, 4, 5, 6, 7+], e.g., 0",5,0,6.311223745346069,13.162539725091307
rqfALeAoiTq,"How many separate, large, thick-slab stone surfaces (e.g., 0",8+,1,0.7072579860687256,1.0000000095039512
rqfALeAoiTq,"What styles of art are displayed throughout the house? Answer with the format 'PAINTINGS: X, WALL_ART: Y' where X and Y are one or more comma-separated values from the lists. Choose from: PAINTINGS: [abstract expressionist, realistic portrait, landscape, minimalist, cubist, surrealist, none], WALL_ART: [pop-art mural, geometric constructivist piece, graffiti tag, photographic print, textile tapestry, mosaic, none], e.g., PAINTINGS: abstract expressionist, WALL_ART: pop-art mural","PAINTINGS: [abstract expressionist], WALL_ART: [pop-art mural, geometric constructivist piece]",WALL_ART: pop-art mural,15.015112161636353,24.548032738933763
rqfALeAoiTq,"Describe the material properties of the large dining table. Answer with the format 'OBJECT: W, MATERIAL: X, COLOR: Y, SHAPE: Z' with one option from each category. Choose from: OBJECT: [dining table, coffee table, kitchen island, bar counter, console table, side table, desk, workbench], MATERIAL: [stone, wood, metal, glass, plastic, concrete, laminate, composite], COLOR: [multi-color, black, white, brown, gray, beige, clear, silver], SHAPE: [rectangular, square, circular, oval, L-shaped, free-form, triangular, hexagonal], e.g., OBJECT: kitchen island, MATERIAL: plastic, COLOR: silver, SHAPE: L-shaped","OBJECT: dining table, MATERIAL: stone, COLOR: multi-color, SHAPE: rectangular","OBJECT: dining table, MATERIAL: stone, COLOR: black, SHAPE: rectangular",4.3616251945495605,7.335589615816408
rqfALeAoiTq,"Where is the black leather lounge chair and ottoman located? Answer with the format 'ROOM: X, POSITION: Y, NEARBY_OBJECT: Z' with one option from each category. Choose from: ROOM: [main living room, media room, kitchen, dining room, hallway, bathroom, bedroom, office], POSITION: [near doorway, in a corner, center of room, beside stairs, under window, against a wall, next to fireplace, by a plant], NEARBY_OBJECT: [large artwork, sofa, fireplace, table, plant, bookshelf, TV, stairs], e.g., ROOM: dining room, POSITION: under window, NEARBY_OBJECT: TV","ROOM: main living room, POSITION: near doorway, NEARBY_OBJECT: large artwork","main living room, in a corner, next to fireplace",4.94633936882019,10.306771372344343
rqfALeAoiTq,"What is the approximate seating capacity of the black leather sectional sofa in the media room? Answer with one option from [1-seat, 2-seat, 3-seat, 4-seat, 5-seat, 6-7-seat, 8+ seat], e.g., 1-seat",6-7-seat,1-seat,8.165276050567627,15.99264371227675
rqfALeAoiTq,"What is the sequence of areas one moves through to get from the kitchen with the stainless steel appliances to the media room with the large black sectional sofa? Answer with the format 'START: X, INTERMEDIATE: Y, END: Z' with one option from each category. Choose from: START: [main living room, kitchen, bathroom, media room, hallway, entrance, balcony], INTERMEDIATE: [main living room, dining area, hallway, staircase, bathroom, bar, none], END: [main living room, kitchen, bathroom, media room, dining area, office, bedroom], e.g., START: main living room, INTERMEDIATE: main living room, END: main living room","START: kitchen, INTERMEDIATE: dining area, END: media room","START: main living room, INTERMEDIATE: main living room, END: main living room",7.11898398399353,11.683861163344233
rqfALeAoiTq,"In the main living room, what is the arrangement of features on the wall directly opposite the yellow sofas? Answer with one option from FEATURE: [Large abstract painting, Wall-mounted TV, Large mirror, Sculpture, Shelving unit, Clock, Tapestry, none], e.g., FEATURE: Shelving unit",FEATURE: Large abstract painting,Large abstract painting.,4.018458604812622,6.064285193469374
rqfALeAoiTq,"What components make up the entertainment system in the media room? Answer with the format 'DISPLAY: X, AUDIO: Y, FURNITURE: Z' where X, Y, and Z are one or more comma-separated values from the lists. Choose from: DISPLAY: [Large flat-screen TV, Projector screen, TV on stand, CRT TV, Computer monitor, none], AUDIO: [Stacked AV receivers, Soundbar, Freestanding speakers, Wall-mounted speakers, Subwoofer, Record player, none], FURNITURE: [Black sectional sofa, Individual recliners, Media cabinet, Speaker stands, Bean bags, none], e.g., DISPLAY: Large flat-screen TV, AUDIO: Stacked AV receivers, FURNITURE: Black sectional sofa","DISPLAY: [Large flat-screen TV], AUDIO: [Stacked AV receivers, Wall-mounted speakers], FURNITURE: [Black sectional sofa]","AUDIO: Stacked AV receivers, Freestanding speakers, Subwoofer, Record player",151.8404278755188,49.011691507669866
rqfALeAoiTq,"What are the primary colors featured in the pop-art style mural? Answer with one or more comma-separated values. Choose from: COLORS: [Red, Yellow, Blue, Green, Orange, Purple, Pink, Brown, Black, White, Gray, Silver], e.g., COLORS: Red","COLORS: [Red, Yellow, Blue, Black, White]","Red, Yellow, Blue, Green, Orange, Purple, Pink, Brown, Black, White, Gray, Silver",2.5966238975524902,2.979690019872038
